Trap	Habitat	Transect	Season	Abundance	Richness	Amiga_arnaca_arnaca	Amphidecta_calliomma	Amphidecta_pignerator_pignerator	Archaeoprepona_demophon_demophon	Archaeoprepona_demophoon	Baeotus_aeilus	Bia_actorion	Caeruleuptychia_romani	Catoblepia_berecynthia	Catoblepia_soranus	Catoblepia_xanthicles	Catonephele_acontius	Catonephele_antinoe	Catonephele_numilia	Chloreuptychia_agatha	Chloreuptychia_rectilinea	Chloreuptychia_herseis	Chloreuptychia_tolumnia	Cissia_myncea	Cithaerias_aurora	Colobura_dirce	Erichthodes_antonina	Eunica_eurota	Eunica_orphise	Hamadryas_arinome	Hamadryas_feronia	Hamadryas_laodamia	Hermeuptychia_maimoune	Historis_acheronta	Historis_odius	Magneuptychia_aff_ocnus	Magneuptychia_fugitiva	Magneuptychia_ocnus	Memphis_laertes	Memphis_leonida	Memphis_phantes_vicina	Memphis_polycarmes	Memphis_moruus_moruus	Morpho_achilles	Nessaea_obrinus	Opsiphanes_invirae	Opsiphanes_quiteria_quiteria	Pareuptychia_summandosa	Posttaygetis_penela	Prepona_dexamenus	Prepona_laertes_demodice	Pseudodebis_marpessa	Pseudodebis_valentina	Siderone_galanthis_galanthis	Taygetis_cleopatra	Taygetis_mermeria	Taygetis_rufomarginata	Taygetis_thamyra	Taygetis_virgilia	Temenis_laothoe	Tigridia_acesta	Zaretis_isidora	Zaretis_itys
TF3A2	Terra_Firme	TF3	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF3A3	Terra_Firme	TF3	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF3A4	Terra_Firme	TF3	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF3A5	Terra_Firme	TF3	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF3A6	Terra_Firme	TF3	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF3A7	Terra_Firme	TF3	Dry	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TF3A8	Terra_Firme	TF3	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF3A9	Terra_Firme	TF3	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF3A10	Terra_Firme	TF3	Dry	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IG2A1	Igapo	IG2	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
